Counting,geography,Religion,Count,geography code
Individuals,East Lothian,Other religion,214,S12000010
Individuals,East Lothian,No religion,64576,S12000010
Individuals,East Lothian,Religion not stated,6378,S12000010
Individuals,East Renfrewshire,All people,96817,S12000011
Individuals,East Renfrewshire,Church of Scotland,20371,S12000011
Individuals,East Renfrewshire,Roman Catholic,19980,S12000011
Individuals,East Renfrewshire,Other Christian,3756,S12000011
Individuals,East Renfrewshire,Buddhist,252,S12000011
Individuals,East Renfrewshire,Hindu,1253,S12000011
Individuals,East Renfrewshire,Jewish,1511,S12000011
Individuals,East Renfrewshire,Muslim,5290,S12000011
Individuals,East Renfrewshire,Sikh,618,S12000011
Individuals,East Renfrewshire,Pagan,146,S12000011
Individuals,East Renfrewshire,Other religion,161,S12000011
Individuals,East Renfrewshire,No religion,36811,S12000011
Individuals,East Renfrewshire,Religion not stated,6664,S12000011
Individuals,Na h-Eileanan Siar,All people,26140,S12000013
Individuals,Na h-Eileanan Siar,Church of Scotland,9239,S12000013
Individuals,Na h-Eileanan Siar,Roman Catholic,3159,S12000013
Individuals,Na h-Eileanan Siar,Other Christian,4234,S12000013
Individuals,Na h-Eileanan Siar,Buddhist,58,S12000013
Individuals,Na h-Eileanan Siar,Hindu,16,S12000013
Individuals,Na h-Eileanan Siar,Jewish,0,S12000013
Individuals,Na h-Eileanan Siar,Muslim,58,S12000013
Individuals,Na h-Eileanan Siar,Sikh,1,S12000013
Individuals,Na h-Eileanan Siar,Pagan,125,S12000013
Individuals,Na h-Eileanan Siar,Other religion,76,S12000013
Individuals,Na h-Eileanan Siar,No religion,7828,S12000013
Individuals,Na h-Eileanan Siar,Religion not stated,1345,S12000013
Individuals,Falkirk,All people,158404,S12000014
Individuals,Falkirk,Church of Scotland,35952,S12000014
Individuals,Falkirk,Roman Catholic,17529,S12000014
Individuals,Falkirk,Other Christian,6377,S12000014
Individuals,Falkirk,Buddhist,256,S12000014
Individuals,Falkirk,Hindu,269,S12000014
Individuals,Falkirk,Jewish,50,S12000014
Individuals,Falkirk,Muslim,2054,S12000014
Individuals,Falkirk,Sikh,149,S12000014
Individuals,Falkirk,Pagan,541,S12000014
Individuals,Falkirk,Other religion,341,S12000014
Individuals,Falkirk,No religion,86376,S12000014
Individuals,Falkirk,Religion not stated,8508,S12000014
Individuals,Highland,All people,235351,S12000017
Individuals,Highland,Church of Scotland,55165,S12000017
Individuals,Highland,Roman Catholic,14728,S12000017
Individuals,Highland,Other Christian,17943,S12000017
Individuals,Highland,Buddhist,671,S12000017
Individuals,Highland,Hindu,334,S12000017
Individuals,Highland,Jewish,112,S12000017
Individuals,Highland,Muslim,1131,S12000017
Individuals,Highland,Sikh,54,S12000017
Individuals,Highland,Pagan,1239,S12000017
Individuals,Highland,Other religion,612,S12000017
Individuals,Highland,No religion,127865,S12000017
Individuals,Highland,Religion not stated,15499,S12000017
Individuals,Inverclyde,All people,78426,S12000018
Individuals,Inverclyde,Church of Scotland,18554,S12000018
Individuals,Inverclyde,Roman Catholic,26224,S12000018
Individuals,Inverclyde,Other Christian,2783,S12000018
Individuals,Inverclyde,Buddhist,95,S12000018
Individuals,Inverclyde,Hindu,103,S12000018
Individuals,Inverclyde,Jewish,33,S12000018
Individuals,Inverclyde,Muslim,501,S12000018
Individuals,Inverclyde,Sikh,63,S12000018
Individuals,Inverclyde,Pagan,162,S12000018
Individuals,Inverclyde,Other religion,111,S12000018
Individuals,Inverclyde,No religion,25268,S12000018
Individuals,Inverclyde,Religion not stated,4531,S12000018
Individuals,Midlothian,All people,96527,S12000019
Individuals,Midlothian,Church of Scotland,18554,S12000019
Individuals,Midlothian,Roman Catholic,8256,S12000019
Individuals,Midlothian,Other Christian,3895,S12000019
Individuals,Midlothian,Buddhist,188,S12000019
Individuals,Midlothian,Hindu,279,S12000019
Individuals,Midlothian,Jewish,51,S12000019
Individuals,Midlothian,Muslim,1163,S12000019
Individuals,Midlothian,Sikh,59,S12000019
Individuals,Midlothian,Pagan,297,S12000019
Individuals,Midlothian,Other religion,185,S12000019
Individuals,Midlothian,No religion,58436,S12000019
Individuals,Midlothian,Religion not stated,5163,S12000019
Individuals,Moray,All people,93293,S12000020
Individuals,Moray,Church of Scotland,20576,S12000020
Individuals,Moray,Roman Catholic,4696,S12000020
Individuals,Moray,Other Christian,6731,S12000020
Individuals,Moray,Buddhist,286,S12000020
Individuals,Moray,Hindu,99,S12000020
Individuals,Moray,Jewish,62,S12000020
Individuals,Moray,Muslim,294,S12000020
Individuals,Moray,Sikh,29,S12000020
Individuals,Moray,Pagan,460,S12000020
Individuals,Moray,Other religion,241,S12000020
Individuals,Moray,No religion,54238,S12000020
Individuals,Moray,Religion not stated,5586,S12000020
Individuals,North Ayrshire,All people,133413,S12000021
Individuals,North Ayrshire,Church of Scotland,35737,S12000021
Individuals,North Ayrshire,Roman Catholic,16328,S12000021
Individuals,North Ayrshire,Other Christian,4674,S12000021
Individuals,North Ayrshire,Buddhist,256,S12000021
Individuals,North Ayrshire,Hindu,71,S12000021
Individuals,North Ayrshire,Jewish,53,S12000021
Individuals,North Ayrshire,Muslim,594,S12000021
Individuals,North Ayrshire,Sikh,283,S12000021
Individuals,North Ayrshire,Pagan,477,S12000021
Individuals,North Ayrshire,Other religion,302,S12000021
Individuals,North Ayrshire,No religion,66588,S12000021
Individuals,North Ayrshire,Religion not stated,8047,S12000021
Individuals,Orkney Islands,All people,21958,S12000023
Individuals,Orkney Islands,Church of Scotland,5853,S12000023
Individuals,Orkney Islands,Roman Catholic,586,S12000023
Individuals,Orkney Islands,Other Christian,1523,S12000023
Individuals,Orkney Islands,Buddhist,50,S12000023
Individuals,Orkney Islands,Hindu,9,S12000023
Individuals,Orkney Islands,Jewish,19,S12000023
Individuals,Orkney Islands,Muslim,36,S12000023
Individuals,Orkney Islands,Sikh,3,S12000023
Individuals,Orkney Islands,Pagan,197,S12000023
Individuals,Orkney Islands,Other religion,69,S12000023
Individuals,Orkney Islands,No religion,12371,S12000023
Individuals,Orkney Islands,Religion not stated,1246,S12000023
Individuals,Scottish Borders,All people,116821,S12000026
Individuals,Scottish Borders,Church of Scotland,29090,S12000026
Individuals,Scottish Borders,Roman Catholic,6165,S12000026
Individuals,Scottish Borders,Other Christian,7498,S12000026
Individuals,Scottish Borders,Buddhist,333,S12000026
Individuals,Scottish Borders,Hindu,107,S12000026
Individuals,Scottish Borders,Jewish,72,S12000026
Individuals,Scottish Borders,Muslim,363,S12000026
Individuals,Scottish Borders,Sikh,36,S12000026
Individuals,Scottish Borders,Pagan,489,S12000026
Individuals,Scottish Borders,Other religion,232,S12000026
Individuals,Scottish Borders,No religion,64561,S12000026
Individuals,Scottish Borders,Religion not stated,7875,S12000026
Individuals,Shetland Islands,All people,22986,S12000027
Individuals,Shetland Islands,Church of Scotland,4366,S12000027
Individuals,Shetland Islands,Roman Catholic,650,S12000027
Individuals,Shetland Islands,Other Christian,1976,S12000027
Individuals,Shetland Islands,Buddhist,87,S12000027
Individuals,Shetland Islands,Hindu,8,S12000027
Individuals,Shetland Islands,Jewish,4,S12000027
Individuals,Shetland Islands,Muslim,42,S12000027
Individuals,Shetland Islands,Sikh,0,S12000027
Individuals,Shetland Islands,Pagan,137,S12000027
Individuals,Shetland Islands,Other religion,73,S12000027
Individuals,Shetland Islands,No religion,14424,S12000027
Individuals,Shetland Islands,Religion not stated,1219,S12000027
Individuals,South Ayrshire,All people,111519,S12000028
Individuals,South Ayrshire,Church of Scotland,32507,S12000028
Individuals,South Ayrshire,Roman Catholic,9476,S12000028
Individuals,South Ayrshire,Other Christian,4650,S12000028
Individuals,South Ayrshire,Buddhist,212,S12000028
Individuals,South Ayrshire,Hindu,251,S12000028
Individuals,South Ayrshire,Jewish,54,S12000028
Individuals,South Ayrshire,Muslim,434,S12000028
Individuals,South Ayrshire,Sikh,164,S12000028
Individuals,South Ayrshire,Pagan,381,S12000028
Individuals,South Ayrshire,Other religion,239,S12000028
Individuals,South Ayrshire,No religion,56184,S12000028
Individuals,South Ayrshire,Religion not stated,6974,S12000028
Individuals,South Lanarkshire,All people,327056,S12000029
Individuals,South Lanarkshire,Church of Scotland,75098,S12000029
Individuals,South Lanarkshire,Roman Catholic,63120,S12000029
Individuals,South Lanarkshire,Other Christian,12772,S12000029
Individuals,South Lanarkshire,Buddhist,464,S12000029
Individuals,South Lanarkshire,Hindu,879,S12000029
Individuals,South Lanarkshire,Jewish,219,S12000029
Individuals,South Lanarkshire,Muslim,4724,S12000029
Individuals,South Lanarkshire,Sikh,619,S12000029
Individuals,South Lanarkshire,Pagan,811,S12000029
Individuals,South Lanarkshire,Other religion,565,S12000029
Individuals,South Lanarkshire,No religion,148381,S12000029
Individuals,South Lanarkshire,Religion not stated,19413,S12000029
Individuals,Stirling,All people,92604,S12000030
Individuals,Stirling,Church of Scotland,20554,S12000030
Individuals,Stirling,Roman Catholic,9591,S12000030
Individuals,Stirling,Other Christian,5148,S12000030
Individuals,Stirling,Buddhist,269,S12000030
Individuals,Stirling,Hindu,445,S12000030
Individuals,Stirling,Jewish,66,S12000030
Individuals,Stirling,Muslim,945,S12000030
Individuals,Stirling,Sikh,128,S12000030
Individuals,Stirling,Pagan,357,S12000030
Individuals,Stirling,Other religion,223,S12000030
Individuals,Stirling,No religion,49181,S12000030
Individuals,Stirling,Religion not stated,5700,S12000030
Individuals,Aberdeen City,All people,224021,S12000033
Individuals,Aberdeen City,Church of Scotland,32651,S12000033
Individuals,Aberdeen City,Roman Catholic,19239,S12000033
Individuals,Aberdeen City,Other Christian,16897,S12000033
Individuals,Aberdeen City,Buddhist,1014,S12000033
Individuals,Aberdeen City,Hindu,3010,S12000033
Individuals,Aberdeen City,Jewish,144,S12000033
Individuals,Aberdeen City,Muslim,6465,S12000033
Individuals,Aberdeen City,Sikh,165,S12000033
Individuals,Aberdeen City,Pagan,801,S12000033
Individuals,Aberdeen City,Other religion,719,S12000033
Individuals,Aberdeen City,No religion,129880,S12000033
Individuals,Aberdeen City,Religion not stated,13040,S12000033
Individuals,Aberdeenshire,All people,263723,S12000034
Individuals,Aberdeenshire,Church of Scotland,61218,S12000034
Individuals,Aberdeenshire,Roman Catholic,11343,S12000034
Individuals,Aberdeenshire,Other Christian,16637,S12000034
Individuals,Aberdeenshire,Buddhist,520,S12000034
Individuals,Aberdeenshire,Hindu,446,S12000034
Individuals,Aberdeenshire,Jewish,96,S12000034
Individuals,Aberdeenshire,Muslim,1172,S12000034
Individuals,Aberdeenshire,Sikh,66,S12000034
Individuals,Aberdeenshire,Pagan,833,S12000034
Individuals,Aberdeenshire,Other religion,493,S12000034
Individuals,Aberdeenshire,No religion,155494,S12000034
Individuals,Aberdeenshire,Religion not stated,15405,S12000034
Individuals,Argyll and Bute,All people,85970,S12000035
Individuals,Argyll and Bute,Church of Scotland,23184,S12000035
Individuals,Argyll and Bute,Roman Catholic,7887,S12000035
Individuals,Argyll and Bute,Other Christian,5705,S12000035
Individuals,Argyll and Bute,Buddhist,244,S12000035
Individuals,Argyll and Bute,Hindu,87,S12000035
Individuals,Argyll and Bute,Jewish,71,S12000035
Individuals,Argyll and Bute,Muslim,324,S12000035
Individuals,Argyll and Bute,Sikh,48,S12000035
Individuals,Argyll and Bute,Pagan,515,S12000035
Individuals,Argyll and Bute,Other religion,186,S12000035
Individuals,Argyll and Bute,No religion,41664,S12000035
Individuals,Argyll and Bute,Religion not stated,6049,S12000035
Individuals,City of Edinburgh,All people,514543,S12000036
Individuals,City of Edinburgh,Church of Scotland,69356,S12000036
Individuals,City of Edinburgh,Roman Catholic,51950,S12000036
Individuals,City of Edinburgh,Other Christian,33593,S12000036
Individuals,City of Edinburgh,Buddhist,2796,S12000036
Individuals,City of Edinburgh,Hindu,8459,S12000036
Individuals,City of Edinburgh,Jewish,1270,S12000036
Individuals,City of Edinburgh,Muslim,18034,S12000036
Individuals,City of Edinburgh,Sikh,1395,S12000036
Individuals,City of Edinburgh,Pagan,2055,S12000036
Individuals,City of Edinburgh,Other religion,1629,S12000036
Individuals,City of Edinburgh,No religion,289944,S12000036
Individuals,City of Edinburgh,Religion not stated,34061,S12000036
Individuals,Renfrewshire,All people,183874,S12000038
Individuals,Renfrewshire,Church of Scotland,38257,S12000038
Individuals,Renfrewshire,Roman Catholic,35151,S12000038
Individuals,Renfrewshire,Other Christian,7496,S12000038
Individuals,Renfrewshire,Buddhist,299,S12000038
Individuals,Renfrewshire,Hindu,620,S12000038
Individuals,Renfrewshire,Jewish,71,S12000038
Individuals,Renfrewshire,Muslim,2600,S12000038
Individuals,Renfrewshire,Sikh,835,S12000038
Individuals,Renfrewshire,Pagan,481,S12000038
Individuals,Renfrewshire,Other religion,342,S12000038
Individuals,Renfrewshire,No religion,86849,S12000038
Individuals,Renfrewshire,Religion not stated,10874,S12000038
Individuals,West Dunbartonshire,All people,88399,S12000039
Individuals,West Dunbartonshire,Church of Scotland,17269,S12000039
Individuals,West Dunbartonshire,Roman Catholic,24906,S12000039
Individuals,West Dunbartonshire,Other Christian,2401,S12000039
Individuals,West Dunbartonshire,Buddhist,148,S12000039
Individuals,West Dunbartonshire,Hindu,100,S12000039
Individuals,West Dunbartonshire,Jewish,31,S12000039
Individuals,West Dunbartonshire,Muslim,685,S12000039
Individuals,West Dunbartonshire,Sikh,101,S12000039
Individuals,West Dunbartonshire,Pagan,268,S12000039
Individuals,West Dunbartonshire,Other religion,126,S12000039
Individuals,West Dunbartonshire,No religion,37012,S12000039
Individuals,West Dunbartonshire,Religion not stated,5356,S12000039
Individuals,West Lothian,All people,181278,S12000040
Individuals,West Lothian,Church of Scotland,35866,S12000040
Individuals,West Lothian,Roman Catholic,24505,S12000040
Individuals,West Lothian,Other Christian,7754,S12000040
Individuals,West Lothian,Buddhist,276,S12000040
Individuals,West Lothian,Hindu,801,S12000040
Individuals,West Lothian,Jewish,75,S12000040
Individuals,West Lothian,Muslim,2907,S12000040
Individuals,West Lothian,Sikh,123,S12000040
Individuals,West Lothian,Pagan,603,S12000040
Individuals,West Lothian,Other religion,332,S12000040
Individuals,West Lothian,No religion,98151,S12000040
Individuals,West Lothian,Religion not stated,9880,S12000040
Individuals,Angus,All people,114342,S12000041
Individuals,Angus,Church of Scotland,29722,S12000041
Individuals,Angus,Roman Catholic,6511,S12000041
Individuals,Angus,Other Christian,4961,S12000041
Individuals,Angus,Buddhist,193,S12000041
Individuals,Angus,Hindu,116,S12000041
Individuals,Angus,Jewish,44,S12000041
Individuals,Angus,Muslim,550,S12000041
Individuals,Angus,Sikh,28,S12000041
Individuals,Angus,Pagan,448,S12000041
Individuals,Angus,Other religion,194,S12000041
Individuals,Angus,No religion,65292,S12000041
Individuals,Angus,Religion not stated,6284,S12000041
Individuals,Dundee City,All people,148697,S12000042
Individuals,Dundee City,Church of Scotland,21639,S12000042
Individuals,Dundee City,Roman Catholic,20449,S12000042
Individuals,Dundee City,Other Christian,7236,S12000042
Individuals,Dundee City,Buddhist,724,S12000042
Individuals,Dundee City,Hindu,1108,S12000042
Individuals,Dundee City,Jewish,97,S12000042
Individuals,Dundee City,Muslim,6232,S12000042
Individuals,Dundee City,Sikh,164,S12000042
Individuals,Dundee City,Pagan,665,S12000042
Individuals,Dundee City,Other religion,345,S12000042
Individuals,Dundee City,No religion,81136,S12000042
Individuals,Dundee City,Religion not stated,8901,S12000042
Individuals,East Dunbartonshire,All people,108937,S12000045
Individuals,East Dunbartonshire,Church of Scotland,25467,S12000045
Individuals,East Dunbartonshire,Roman Catholic,20535,S12000045
Individuals,East Dunbartonshire,Other Christian,4767,S12000045
Individuals,East Dunbartonshire,Buddhist,209,S12000045
Individuals,East Dunbartonshire,Hindu,903,S12000045
Individuals,East Dunbartonshire,Jewish,53,S12000045
Individuals,East Dunbartonshire,Muslim,1441,S12000045
Individuals,East Dunbartonshire,Sikh,869,S12000045
Individuals,East Dunbartonshire,Pagan,204,S12000045
Individuals,East Dunbartonshire,Other religion,202,S12000045
Individuals,East Dunbartonshire,No religion,47128,S12000045
Individuals,East Dunbartonshire,Religion not stated,7157,S12000045
Individuals,Fife,All people,371781,S12000047
Individuals,Fife,Church of Scotland,71475,S12000047
Individuals,Fife,Roman Catholic,26655,S12000047
Individuals,Fife,Other Christian,17926,S12000047
Individuals,Fife,Buddhist,866,S12000047
Individuals,Fife,Hindu,951,S12000047
Individuals,Fife,Jewish,259,S12000047
Individuals,Fife,Muslim,3813,S12000047
Individuals,Fife,Sikh,471,S12000047
Individuals,Fife,Pagan,1460,S12000047
Individuals,Fife,Other religion,904,S12000047
Individuals,Fife,No religion,225123,S12000047
Individuals,Fife,Religion not stated,21873,S12000047
Individuals,Perth and Kinross,All people,150953,S12000048
Individuals,Perth and Kinross,Church of Scotland,37275,S12000048
Individuals,Perth and Kinross,Roman Catholic,11827,S12000048
Individuals,Perth and Kinross,Other Christian,9945,S12000048
Individuals,Perth and Kinross,Buddhist,522,S12000048
Individuals,Perth and Kinross,Hindu,273,S12000048
Individuals,Perth and Kinross,Jewish,74,S12000048
Individuals,Perth and Kinross,Muslim,956,S12000048
Individuals,Perth and Kinross,Sikh,45,S12000048
Individuals,Perth and Kinross,Pagan,586,S12000048
Individuals,Perth and Kinross,Other religion,372,S12000048
Individuals,Perth and Kinross,No religion,79218,S12000048
Individuals,Perth and Kinross,Religion not stated,9857,S12000048
Individuals,Glasgow City,All people,620756,S12000049
Individuals,Glasgow City,Church of Scotland,82585,S12000049
Individuals,Glasgow City,Roman Catholic,128743,S12000049
Individuals,Glasgow City,Other Christian,29009,S12000049
Individuals,Glasgow City,Buddhist,2854,S12000049
Individuals,Glasgow City,Hindu,8166,S12000049
Individuals,Glasgow City,Jewish,973,S12000049
Individuals,Glasgow City,Muslim,48766,S12000049
Individuals,Glasgow City,Sikh,3456,S12000049
Individuals,Glasgow City,Pagan,2001,S12000049
Individuals,Glasgow City,Other religion,1817,S12000049
Individuals,Glasgow City,No religion,268327,S12000049
Individuals,Glasgow City,Religion not stated,44076,S12000049
Individuals,North Lanarkshire,All people,340973,S12000050
Individuals,North Lanarkshire,Church of Scotland,69899,S12000050
Individuals,North Lanarkshire,Roman Catholic,102032,S12000050
Individuals,North Lanarkshire,Other Christian,10939,S12000050
Individuals,North Lanarkshire,Buddhist,407,S12000050
Individuals,North Lanarkshire,Hindu,383,S12000050
Individuals,North Lanarkshire,Jewish,76,S12000050
Individuals,North Lanarkshire,Muslim,5526,S12000050
Individuals,North Lanarkshire,Sikh,672,S12000050
Individuals,North Lanarkshire,Pagan,770,S12000050
Individuals,North Lanarkshire,Other religion,489,S12000050
Individuals,North Lanarkshire,No religion,130244,S12000050
Individuals,North Lanarkshire,Religion not stated,19543,S12000050
